trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.3579999999999999, 'e': 0.0006866761302459269}",20,1,31.49889982247438,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3569999999999999, 'e': 0.0006523423237336305}",20,12,14.259378935219962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.35599999999999987, 'e': 0.0006197252075469489}",25,16,17.103450379595458,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.35499999999999987, 'e': 0.0005887389471696014}",20,12,13.993564516479559,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.35399999999999987, 'e': 0.0005593019998111214}",30,8,36.11432919297002,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.35299999999999987, 'e': 0.0005313368998205653}",20,7,22.378592586612278,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.35199999999999987, 'e': 0.0005047700548295369}",20,9,20.40349919084212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.35099999999999987, 'e': 0.00047953155208806006}",25,5,29.392070556073282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.34999999999999987, 'e': 0.000455554974483657}",20,13,13.541327560788432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.34899999999999987, 'e': 0.0004327772257594741}",30,10,34.702091214498104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.34799999999999986, 'e': 0.0004111383644715004}",25,8,26.22229200460474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.34699999999999986, 'e': 0.00039058144624792536}",30,8,34.08265733236608,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.34599999999999986, 'e': 0.0003710523739355291}",25,19,14.533977201365712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.34499999999999986, 'e': 0.00035249975523875265}",25,17,15.182600969362417,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.34399999999999986, 'e': 0.000334874767476815}",25,20,10.253041397815075,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.34299999999999986, 'e': 0.00031813102910297424}",25,7,26.228893910336275,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.34199999999999986, 'e': 0.0003022244776478255}",20,12,11.007616052644888,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.34099999999999986, 'e': 0.0002871132537654342}",25,13,23.940149520492035,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.33999999999999986, 'e': 0.00027275759107716247}",20,16,8.176677976003717,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.33899999999999986, 'e': 0.00025911971152330434}",30,13,31.549670100657746,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.33799999999999986, 'e': 0.00024616372594713913}",20,13,12.547401803379923,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.33699999999999986, 'e': 0.00023385553964978215}",30,20,18.039861179745472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.33599999999999985, 'e': 0.00022216276266729304}",30,16,28.14306017762849,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.33499999999999985, 'e': 0.00021105462453392839}",20,13,15.542063210254177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.33399999999999985, 'e': 0.00020050189330723196}",25,5,35.22374498307679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
